City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
270,alice springs,-23.7,133.8833,15.75,55,0,3.09,AU,1715420993
271,fort bragg,35.139,-79.006,13.91,76,0,2.06,US,1715421224
272,haiku-pauwela,20.9219,-156.3051,22.25,88,40,0.0,US,1715421225
273,mansehra,34.3333,73.2,29.37,35,0,3.33,PK,1715421226
274,yanchep,-31.55,115.6833,22.07,85,0,3.18,AU,1715421227
275,brookings,44.3114,-96.7984,10.62,75,0,0.0,US,1715421228
276,jilikul,37.4917,68.5311,20.25,59,89,2.75,TJ,1715421229
277,mossel bay,-34.1831,22.146,18.96,58,4,4.53,ZA,1715421229
278,cannonvale,-20.2833,148.7,22.66,79,0,5.51,AU,1715421230
279,saint-leu,-21.15,55.2833,28.48,70,1,4.33,RE,1715421231
280,paracuru,-3.41,-39.0306,26.73,92,97,3.38,BR,1715421232
281,novodvinsk,64.4165,40.8122,4.86,69,98,3.98,RU,1715421233
282,victorica,-36.2151,-65.4359,4.79,84,20,3.83,AR,1715421234
283,nizhniy odes,63.6445,54.856,0.83,97,99,2.06,RU,1715421234
284,nagqu,31.5,92.0,7.65,8,74,6.71,CN,1715421235
285,pathein,16.7833,94.7333,36.34,39,54,6.08,MM,1715421236
286,derebucak,37.3918,31.5092,9.73,86,99,1.83,TR,1715421237
287,mount gambier,-37.8333,140.7667,14.7,75,98,1.62,AU,1715421234
288,wailua homesteads,22.0669,-159.378,22.24,84,75,3.09,US,1715421238
289,geraldton,-28.7667,114.6,24.23,60,0,4.63,AU,1715421239
290,ar rass,25.8694,43.4973,38.01,17,100,7.43,SA,1715421240
291,camiri,-20.05,-63.5167,18.12,99,100,1.12,BO,1715421241
292,shumikha,55.2261,63.2961,12.34,33,79,8.93,RU,1715421242
293,greenville,35.6127,-77.3663,12.29,96,40,2.57,US,1715421243
294,anisoc,1.8658,10.7689,29.58,69,87,0.58,GQ,1715421244
295,kailua-kona,19.6406,-155.9956,24.98,89,75,6.69,US,1715421245
296,itamaraca,-7.7478,-34.8256,26.03,72,72,2.3,BR,1715421246
297,isangel,-19.55,169.2667,23.15,74,52,5.23,VU,1715421246
